No;Avg length;file
8;1003;icmF
0;954;dotA
4;945;icmB
16;784;icmO
7;665;icmE
24;428;icmX
1;376;dotB
17;370;icmP
12;329;icmK
2;275;dotC
10;274;icmH
9;272;icmG
13;204;icmL
18;200;icmQ
11;197;icmJ
15;197;icmN
5;192;icmC
3;162;dotD
23;151;icmW
22;151;icmV
6;129;icmD
20;115;icmS
14;94;icmM
19;92;icmR
21;84;icmT
